element_tran,public,public_num
S([*:*])[*:*] --->>>--- CN([*:*])[*:*],C#CCOc1ccc(-c2cc(-c3ccccc3)c3c([s+]2)C(=Cc2ccc([*:*])cc2)CC3)cc1,C#CCOc1ccc(-c2cc(-c3ccccc3)c3c([s+]2)C(=Cc2ccc([*:1])cc2)CC3)cc1
S([*:*])[*:*] --->>>--- CN([*:*])[*:*],C(=C1CCc2c(-c3ccccc3)cc(-c3ccccc3)[s+]c21)c1ccc([*:*])cc1,C(=C1CCc2c(-c3ccccc3)cc(-c3ccccc3)[s+]c21)c1ccc([*:1])cc1
Oc1ccc(-c2ccc(C=C[*:*])s2)cc1 --->>>--- CN1C(=CC=CC=CC=C[*:*])C(C)(C)c2ccccc21,CC1([*:*])C([*:*])=[N+]([*:*])c2ccccc21,CC1([*:1])C([*:2])=[N+]([*:3])c2ccccc21
Oc1ccc(-c2ccc(C=C[*:*])s2)cc1 --->>>--- CN1C(=CC=CC=CC=C[*:*])C(C)(C)c2ccccc21,C[N+]1=C([*:*])C([*:*])([*:*])c2ccccc21,C[N+]1=C([*:1])C([*:2])([*:3])c2ccccc21
Oc1ccc(-c2ccc([*:*])s2)cc1 --->>>--- CN1C(=CC=CC=C[*:*])C(C)(C)c2ccccc21,CC1(C)C(C=C[*:*])=[N+]([*:*])c2ccccc21,CC1(C)C(C=C[*:1])=[N+]([*:2])c2ccccc21
Oc1ccc(-c2ccc([*:*])s2)cc1 --->>>--- CN1C(=CC=CC=C[*:*])C(C)(C)c2ccccc21,C[N+]1=C(C=C[*:*])C(C)([*:*])c2ccccc21,C[N+]1=C(C=C[*:1])C(C)([*:2])c2ccccc21
Oc1ccc(-c2ccc([*:*])s2)cc1 --->>>--- CN1C(=CC=CC=C[*:*])C(C)(C)c2ccccc21,CC1([*:*])C(C=C[*:*])=[N+]([*:*])c2ccccc21,CC1([*:1])C(C=C[*:2])=[N+]([*:3])c2ccccc21
Oc1ccc(-c2ccc([*:*])s2)cc1 --->>>--- CN1C(=CC=CC=C[*:*])C(C)(C)c2ccccc21,C[N+]1=C(C=C[*:*])C([*:*])([*:*])c2ccccc21,C[N+]1=C(C=C[*:1])C([*:2])([*:3])c2ccccc21
Oc1ccc(-c2ccc([*:*])s2)cc1 --->>>--- CN(C)c1ccc2c(c1)OC(=C[*:*])C=C2C(F)(F)F,CC1([*:*])C(C=C[*:*])=[N+]([*:*])c2ccccc21,CC1([*:1])C(C=C[*:2])=[N+]([*:3])c2ccccc21
Oc1ccc(-c2ccc([*:*])s2)cc1 --->>>--- CN(C)c1ccc2c(c1)OC(=C[*:*])C=C2C(F)(F)F,C[N+]1=C(C=C[*:*])C([*:*])([*:*])c2ccccc21,C[N+]1=C(C=C[*:1])C([*:2])([*:3])c2ccccc21
Oc1ccc(C=C[*:*])cc1 --->>>--- CN(C)c1ccc(C=C[*:*])cc1,CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(CC)c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(CC)c([*:1])n3[B-](F)(F)[N+]2=C1[*:2]
Oc1ccc(C=C[*:*])cc1 --->>>--- CN(C)c1ccc(C=C[*:*])cc1,CCc1c(C)c2n(c1[*:*])[B-](F)(F)[N+]1=C([*:*])C(C[*:*])=C(C)C1=C2c1c(F)c(F)c(F)c(F)c1F,CCc1c(C)c2n(c1[*:1])[B-](F)(F)[N+]1=C([*:2])C(C[*:3])=C(C)C1=C2c1c(F)c(F)c(F)c(F)c1F
Oc1ccc(C=C[*:*])cc1 --->>>--- CN(C)c1ccc(C=C[*:*])cc1,CCc1c(C)c2n(c1[*:*])[B-](F)(F)[N+]1=C([*:*])C([*:*])=C(C)C1=C2c1c(F)c(F)c(F)c(F)c1F,CCc1c(C)c2n(c1[*:1])[B-](F)(F)[N+]1=C([*:2])C([*:3])=C(C)C1=C2c1c(F)c(F)c(F)c(F)c1F
Oc1ccc(C=C[*:*])cc1 --->>>--- CN(C)c1ccc(C=C[*:*])cc1,CCC1=C([*:*])C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(CC)c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCC1=C([*:1])C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(CC)c([*:2])n3[B-](F)(F)[N+]2=C1[*:3]
Oc1ccc(C=C[*:*])cc1 --->>>--- CN(C)c1ccc(C=C[*:*])cc1,CCC1=C(C)C2=C([*:*])c3c(C)c(CC)c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCC1=C(C)C2=C([*:1])c3c(C)c(CC)c([*:2])n3[B-](F)(F)[N+]2=C1[*:3]
Oc1ccc(C=C[*:*])cc1 --->>>--- CN(C)c1ccc(C=C[*:*])cc1,CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3[*:*])c3c(C)c(CC)c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3[*:1])c3c(C)c(CC)c([*:2])n3[B-](F)(F)[N+]2=C1[*:3]
Oc1ccc(C=C[*:*])cc1 --->>>--- CN(C)c1ccc(C=C[*:*])cc1,CCC1=C(C)C2=C(c3c(F)c(F)c(F)c([*:*])c3F)c3c(C)c(CC)c([*:*])n3[B-](F)(F)[N+]2=C1[*:*],CCC1=C(C)C2=C(c3c(F)c(F)c(F)c([*:1])c3F)c3c(C)c(CC)c([*:2])n3[B-](F)(F)[N+]2=C1[*:3]
