index,fragment
0,N#CC(=C[*:1])C(=O)O
1,N#CC(=Cc1ccc([*:1])cc1)C(=O)O
2,COc1ccc([*:1])cc1
3,C[*:1]
4,c1ccc([*:1])cc1
5,c1ccc(N(c2ccccc2)c2ccc(-c3ccc([*:1])s3)cc2)cc1
6,c1ccc(N2c3cccc([*:1])c3C3C4CCC(C4)C32)cc1
7,CO[*:1]
8,N#CC(=Cc1ccc([*:1])s1)C(=O)O
9,O=C(O)c1ccc([*:1])s1
10,CN1C(=C[*:1])C(C)(C)c2ccccc21
11,c1ccc(N2c3cccc(-c4ccc([*:1])s4)c3C3C4CCC(C4)C32)cc1
12,c1ccc2c(c1)C1C3CCC(C3)C1N2c1ccc(-c2ccc([*:1])s2)cc1
13,C1CCN([*:1])C1
14,CC(=O)O[*:1]
15,CCN(CC)[*:1]
16,CC(=O)OC=C[*:1]
17,F[*:1]
18,C(=C[*:1])c1ccccc1
19,Cc1ccc([*:1])cc1
20,O=C(O)[*:1]
21,c1cc([*:1])ccc1[*:1]
22,O=CC[*:1]
23,C1CCN([*:1])CC1
24,c1csc([*:1])c1
25,CN(C)[*:1]
26,CC(C)(C)c1ccc(N(c2ccc(C(C)(C)C)cc2)[*:1])cc1
27,c1ccc(N[*:1])cc1
28,O=[*:1]
29,CN(C)c1ccc([*:1])cc1
30,CN(C)C=C[*:1]
31,C1CN([*:1])C1
32,Clc1ccc(SC=C[*:1])cc1
33,ClC=C[*:1]
34,Oc1ccc(C=C[*:1])cc1
35,CCN(C)[*:1]
36,CC(C)(C)[*:1]
37,CCC[*:1]
38,COc1ccc(N[*:1])cc1
39,CCCN[*:1]
40,Cc1cc(C)c([*:1])c(C)c1
41,Fc1ccc([*:1])cc1
42,c1cc([*:1])ccc1-c1ccc([*:1])s1
43,C(=C[*:1])c1ccsc1
44,c1ccc(N(c2ccccc2)[*:1])cc1
45,C(=C[*:1])Nc1ccccc1
46,CC(=O)N(C=C[*:1])c1ccccc1
47,CCN(C=C[*:1])CC
48,Clc1ccc(S[*:1])cc1
49,CCOC(C[*:1])OCC
50,Cl[*:1]
51,CC(=C[*:1])[N+](=O)[O-]
52,C=C[*:1]
53,Oc1ccc([*:1])cc1
54,O[*:1]
55,C1=Cc2ccccc2N([*:1])c2ccccc21
56,O([*:1])[*:1]
57,CSc1ccc2c(c1)C(C)(C)C(=C[*:1])N2C
58,CSc1ccc2c(c1)C(C)(C)C([*:1])=[N+]2C
59,c1cc([*:1])cs1
60,Brc1ccc([*:1])cc1
61,Cc1cc(C)c(C=C[*:1])c(C)c1
62,CN1C(=CC2=C([*:1])C2=C(C#N)C#N)C(C)(C)c2ccccc21
63,CC(=O)N(c1ccccc1)[*:1]
64,COc1ccc(C=C[*:1])cc1
65,COCCOCCCOc1ccc(C=C[*:1])cc1
66,CSc1ccc2c(c1)C(C)(C)C(=CC=C[*:1])N2C
67,CC(C)(C)c1cc(C(C)(C)C)cc([*:1])c1
68,C(=C[*:1])[*:1]
69,CCN(CC)c1ccc2cc([*:1])c(=O)oc2c1
70,CCn1c2ccccc2c2cc([*:1])ccc21
71,c1ccc(CN[*:1])cc1
72,CCN1C(=O)C(=C[*:1])C(=O)N(CC)C1=S
73,COc1ccc([*:1])cc1OC
74,c1cc([*:1])ccc1O[*:1]
75,CSc1ccc2c(c1)C(C)(C)C(C=C[*:1])=[N+]2C
76,CCN1C(=C[*:1])Sc2ccccc21
77,CCCCCCCCCCCCCCCCCCO[*:1]
78,COc1ccc(C=C[*:1])c(OC)c1OC
79,COc1ccccc1C=C[*:1]
80,COc1ccc(C=C[*:1])cc1OC
81,CN[*:1]
82,CCCCN[*:1]
83,CSc1ccc2c(c1)C(C)(C)C(=CC=CC=C[*:1])N2C
84,COc1ccccc1[*:1]
85,CCN1C(=O)C([*:1])C(=O)N(CC)C1=S
86,COc1ccc([*:1])c(OC)c1OC
87,CS[*:1]
88,O=C(O)c1ccc([*:1])cc1
89,c1ccc(N(c2ccccc2)c2ccc([*:1])cc2)cc1
90,CN1C(=C[*:1])C(C)(C)c2cc(C(=O)O)ccc21
91,COc1cccc([*:1])c1
92,FC(F)(F)[*:1]
93,FC(F)(F)c1ccc([*:1])cc1
94,CN(C)c1ccc(C=C[*:1])cc1
95,O=C(O)C=C[*:1]
96,c1cc([*:1])sc1[*:1]
97,CCN1C(=CC=C[*:1])Sc2ccccc21
98,CN1C(=CC=C[*:1])C(C)(C)c2ccccc21
99,Nc1ccc([*:1])cc1
100,CN1C(=CC=C[*:1])C=Cc2ccccc21
101,N[*:1]
102,c1ccc2cc([*:1])ccc2c1
103,Cc1cccc([*:1])c1
104,Br[*:1]
105,c1ccc(O[*:1])cc1
106,COc1ccc2cc([*:1])ccc2c1
107,CC1CN1[*:1]
108,CN(C)c1ccc([*:1])s1
109,c1cc([*:1])sc1N1CCCC1
110,COC(=O)C=CC=C[*:1]
111,FC(F)(F)c1ccc(N[*:1])cc1
112,c1ccc(S[*:1])cc1
113,C#Cc1ccc([*:1])cc1
114,C(=C[*:1])c1c[nH]c2ccccc12
115,c1ccc2c(c1)CCc1ccccc1N2[*:1]
116,C(=C[*:1])c1ccc([*:1])cc1
117,CN1C(=C[*:1])C=Cc2ccccc21
118,CN([*:1])[*:1]
119,COc1ccc(C=C[*:1])c(OC)c1
120,c1ccc2c([*:1])c[nH]c2c1
121,CN1C(=CC2=C([*:1])C2=C(C#N)C#N)C(C)(C)c2cc(C(=O)O)ccc21
122,C(C=C[*:1])=C[*:1]
123,COc1ccc([*:1])c(OC)c1
124,c1ccc(-c2nc([*:1])c3ccccn23)cc1
125,Cc1nc([*:1])c2ccccn12
126,CCN1C(=O)C(=CC=C[*:1])C(=O)N(CC)C1=S
127,CN(c1ccc([*:1])cc1)[*:1]
128,CSc1ccc2c(c1)C(C)(C)C(C=CC=C[*:1])=[N+]2C
129,C(=c1c2cccc3cccc(c32)n1Cc1ccccc1)[*:1]
130,CCO[*:1]
131,CC(=O)N(C)[*:1]
132,CSc1ccc2c(c1)C(C)(C)C(=CC=CC=CC=C[*:1])N2C
133,CCN1C(=CC=CC=C[*:1])Sc2ccccc21
134,CCN1c2cc3c(cc2N(CC)C2CCCCC21)C(=C[*:1])C=C(c1ccccc1)O3
135,O=C(O)C=CC=C[*:1]
