solvent,solvent_num
ClCCl,0
CO,1
CCO,2
ClC(Cl)Cl,3
CC#N,4
C1CCOC1,5
Cc1ccccc1,6
CS(C)=O,7
O,8
CN(C)C=O,9
C1CCCCC1,10
CCCCCC,11
CC(C)=O,12
C1COCCO1,13
CCOC(C)=O,14
c1ccccc1,15
CCOCC,16
CC(C)O,17
CCCCO,18
ClC(Cl)(Cl)Cl,19
CCCO,20
CCCCOCCCC,21
CCCCCCC,22
O=C(O)C(F)(F)F,23
c1ccncc1,24
OCC(F)(F)F,25
OC(F)(F)CF,26
CCCCCCCCO,27
CC1CCCCC1,28
O=S(=O)(O)O,29
OCCO,30
Cl,31
CC1CCCO1,32
N#Cc1ccccc1,33
OCC(O)CO,34
Clc1ccccc1,35
CC(=O)O,36
CCCCCO,37
CCCCCCO,38
CC(C)(C)O,39
ClCCCl,40
CCN(CC)CC,41
CCCCC,42
CC(=O)N(C)C,43
CC(C)CO,44
CCCC#N,45
N=CO,46
CCCCCCCCCCO,47
PBS,48
CC1COC(=O)O1,49
OCCOCCO,50
Clc1ccccc1Cl,51
CC(C)OC(C)C,52
CN=CO,53
CC(C)CC(C)(C)C,54
O=C1CCCCC1,55
COCCOC,56
CCCCOC(C)=O,57
ClC=C(Cl)Cl,58
CC(O)CO,59
COC(C)=O,60
CCCCCCCCCCCCCC,61
CCCCCCCO,62
CCCCCCCCCCCCCCCC,63
CC(=O)C(C)(C)C,64
Cc1ccc(C)cc1,65
CCC(C)CC,66
CCC(C)(C)O,67
CCCCCCCCCCCO,68
CCC#N,69
CCC(C)C,70
CCC(C)=O,71
CN1CCCC1=O,72
