smiles,predicted_prob,predicted_label,SA_Score
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(CC=CC=C2N(C)c3ccccc3C2(C)C)c2ccccc21,0.9326089698412986,1,4.07
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3cccc(C=CC=CC=C4C=C(c5ccccc5)Oc5cc(N(C)C)ccc54)c3C2(C)C)C(C)(C)c2ccccc21,0.9313584526097934,1,3.91
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(CC=C2C=Cc3ccccc3N2C)c2ccccc21,0.9312027498334149,1,4.04
CC[N+]1=C(/C=C/C=C/C=C2\N(CCC=CC=C3C=C(c4ccccc4)Oc4cc(N(C)C)ccc43)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.927402662720852,1,3.76
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(CC=C2N(C)c3ccccc3C2(C)C)c2ccccc21,0.9264976242999378,1,3.96
CC[N+]1=C(/C=C/C=C/C=C2\N(CCC=CC=CC=C3C=C(c4ccccc4)Oc4cc(N(C)C)ccc43)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.9251289549918573,1,3.86
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(CC=CC=C2C=C(c3ccccc3)Oc3cc(N(C)C)ccc32)c2ccccc21,0.9245818319176653,1,4.26
CCN1/C(=C(\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C=CC=CC=C2C=C(c3ccccc3)Oc3cc(N(C)C)ccc32)C(C)(C)c2ccccc21,0.9220544637687162,1,3.99
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(CC=CC=CC=C2C=C(c3ccccc3)Oc3cc(N(C)C)ccc32)c2ccccc21,0.9216819391822052,1,4.36
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(CC=Cc2ccc(N3c4ccccc4CCc4ccccc43)cc2)c2ccccc21,0.918549998455813,1,3.97
CC[N+]1=C(/C=C/C=C/C=C2\N(CCC=C3C=Cc4ccccc4N3C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.9185075081715471,1,3.55
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(CC=Cc2ccc(OC)cc2OC)c2ccccc21,0.917665883304991,1,3.78
CC[N+]1=C(/C=C/C=C/C=C2\N(C(C)c3ccc(-c4ccc(N(C)C)cc4)s3)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.9150219861084468,1,3.86
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(CC=CC=C2C=Cc3ccccc3N2C)c2ccccc21,0.9147534425597345,1,4.18
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2c1cccc2C=CC=CC=C1C=C(c2ccccc2)Oc2cc(N(C)C)ccc21,0.9140137593591854,1,3.92
CC[N+]1=C(/C=C/C=C/C=C2\N(C(C)C=CC=CC=C3C=C(c4ccccc4)Oc4cc(N(C)C)ccc43)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.909179324719472,1,4.40
CC[N+]1=C(/C=C/C=C/C=C2\N(C(C)C=CC=C3C=C(c4ccccc4)Oc4cc(N(C)C)ccc43)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.909179324719472,1,4.30
CCN1C(=CCC2(C)/C(=C/C=C/C=C/C3=[N+](CC)c4ccccc4C3(C)C)N(CC)c3ccccc32)Sc2ccccc21,0.9059593919705587,1,3.97
CCN1/C(=C\C(=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C=CC=CC=C2C=C(c3ccccc3)Oc3cc(N(C)C)ccc32)C(C)(C)c2ccccc21,0.9029159883981609,1,3.95
C#Cc1ccc(CC2(C)/C(=C/C=C/C=C/C3=[N+](CC)c4ccccc4C3(C)C)N(CC)c3ccccc32)cc1,0.9017532290993144,1,3.71
CC[N+]1=C(/C=C/C=C/C=C2\N(CCC=CC=C3N(C)c4ccccc4C3(C)C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.90148348864028,1,3.55
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(CC=CCl)c2ccccc21,0.9013064178862323,1,3.87
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2cccc(C=CC=CC=C3C=C(c4ccccc4)Oc4cc(N(C)C)ccc43)c21,0.8989914941783245,1,3.93
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3c(cccc3C=CC=CC=C3C=C(c4ccccc4)Oc4cc(N(C)C)ccc43)C2(C)C)C(C)(C)c2ccccc21,0.8981828811921345,1,3.93
CC[N+]1=C(/C=C/C=C/C=C2\N(CCc3ccc(-c4ccc(N(C)C)cc4)s3)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8966019243478878,1,3.30
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(Cc2ccc(OC)cc2)c2ccccc21,0.8963061227179301,1,3.53
CC[N+]1=C(/C=C/C=C/C=C2\N(CCC=CC=C3C=Cc4ccccc4N3C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.896097407700365,1,3.66
CCN1/C(=C(\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C=CC=C2C=C(c3ccccc3)Oc3cc(N(C)C)ccc32)C(C)(C)c2ccccc21,0.8950279508713826,1,3.89
CCN1/C(=C(\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C=CC=C2N(C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.894894733496847,1,3.70
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3cccc(C=Cc4ccc(N5c6ccccc6CCc6ccccc65)cc4)c3C2(C)C)C(C)(C)c2ccccc21,0.8941716425967825,1,3.53
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(CO)c2ccccc21,0.893870973816567,1,3.65
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(Cc2ccc(-c3ccc(N(C)C)cc3)s2)c2ccccc21,0.8938567855116902,1,3.82
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3cccc(C=CC=C4C=C(c5ccccc5)Oc5cc(N(C)C)ccc54)c3C2(C)C)C(C)(C)c2ccccc21,0.8917570490570376,1,3.80
CC[N+]1=C(/C=C/C=C/C=C2\N(CCC=Cc3ccc(N4c5ccccc5CCc5ccccc54)cc3)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8913300385313061,1,3.49
CCN1/C(=C(\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C=CC=C2C=Cc3ccccc3N2C)C(C)(C)c2ccccc21,0.890393193483944,1,3.82
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(CCl)c2ccccc21,0.8890837391297414,1,3.70
