smiles,cutnum,scaffold,fragment,combined
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,1,,CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)[*:1])C(C)(C)c2ccccc21.C[*:1],CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)[*:1])C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,2,,CCN1/C(=C\C=C\C=C\C2=[N+]([*:1])c3ccccc3C2(C)C)C(C)(C)c2ccccc21.CC[*:1],CCN1/C(=C\C=C\C=C\C2=[N+]([*:1])c3ccccc3C2(C)C)C(C)(C)c2ccccc21.CC[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,3,,CCN1/C(=C\C=C\C=C\C2=[N+](C[*:1])c3ccccc3C2(C)C)C(C)(C)c2ccccc21.C[*:1],CCN1/C(=C\C=C\C=C\C2=[N+](C[*:1])c3ccccc3C2(C)C)C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,4,,CCN1/C(=C\C=C\C=C[*:1])C(C)(C)c2ccccc21.CC[N+]1=C([*:1])C(C)(C)c2ccccc21,CCN1/C(=C\C=C\C=C[*:1])C(C)(C)c2ccccc21.CC[N+]1=C([*:1])C(C)(C)c2ccccc21
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,5,,CCN1/C(=C\C=C[*:1])C(C)(C)c2ccccc21.CC[N+]1=C(C=C[*:1])C(C)(C)c2ccccc21,CCN1/C(=C\C=C[*:1])C(C)(C)c2ccccc21.CC[N+]1=C(C=C[*:1])C(C)(C)c2ccccc21
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,6,,CCN1C(=C[*:1])C(C)(C)c2ccccc21.CC[N+]1=C(/C=C/C=C[*:1])C(C)(C)c2ccccc21,CCN1C(=C[*:1])C(C)(C)c2ccccc21.CC[N+]1=C(/C=C/C=C[*:1])C(C)(C)c2ccccc21
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,7,,CC[*:1].CC[N+]1=C(/C=C/C=C/C=C2\N([*:1])c3ccccc3C2(C)C)C(C)(C)c2ccccc21,CC[*:1].CC[N+]1=C(/C=C/C=C/C=C2\N([*:1])c3ccccc3C2(C)C)C(C)(C)c2ccccc21
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,8,,CC[N+]1=C(/C=C/C=C/C=C2\N(C[*:1])c3ccccc3C2(C)C)C(C)(C)c2ccccc21.C[*:1],CC[N+]1=C(/C=C/C=C/C=C2\N(C[*:1])c3ccccc3C2(C)C)C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,9,,CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)([*:1])c2ccccc21.C[*:1],CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)([*:1])c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,1,CCN1C(=CC=CC=CC2=[N+](CC)c3ccccc3C2([*:1])[*:2])C(C)(C)c2ccccc21,C[*:1].C[*:2],CCN1C(=CC=CC=CC2=[N+](CC)c3ccccc3C2([*:1])[*:2])C(C)(C)c2ccccc21.C[*:1].C[*:2]
