element_tran,node1,node2
S([*:1])[*:1] --->>>--- CN([*:1])[*:1],S([*:1])[*:1],CN([*:1])[*:1]
S([*:2])[*:2] --->>>--- CN([*:2])[*:2],S([*:2])[*:2],CN([*:2])[*:2]
S([*:3])[*:3] --->>>--- CN([*:3])[*:3],S([*:3])[*:3],CN([*:3])[*:3]
Oc1ccc(-c2ccc(C=C[*:1])s2)cc1 --->>>--- CN1C(=CC=CC=CC=C[*:1])C(C)(C)c2ccccc21,Oc1ccc(-c2ccc(C=C[*:1])s2)cc1,CN1C(=CC=CC=CC=C[*:1])C(C)(C)c2ccccc21
Oc1ccc(-c2ccc(C=C[*:2])s2)cc1 --->>>--- CN1C(=CC=CC=CC=C[*:2])C(C)(C)c2ccccc21,Oc1ccc(-c2ccc(C=C[*:2])s2)cc1,CN1C(=CC=CC=CC=C[*:2])C(C)(C)c2ccccc21
Oc1ccc(-c2ccc(C=C[*:3])s2)cc1 --->>>--- CN1C(=CC=CC=CC=C[*:3])C(C)(C)c2ccccc21,Oc1ccc(-c2ccc(C=C[*:3])s2)cc1,CN1C(=CC=CC=CC=C[*:3])C(C)(C)c2ccccc21
Oc1ccc(-c2ccc([*:1])s2)cc1 --->>>--- CN1C(=CC=CC=C[*:1])C(C)(C)c2ccccc21,Oc1ccc(-c2ccc([*:1])s2)cc1,CN1C(=CC=CC=C[*:1])C(C)(C)c2ccccc21
Oc1ccc(-c2ccc([*:2])s2)cc1 --->>>--- CN1C(=CC=CC=C[*:2])C(C)(C)c2ccccc21,Oc1ccc(-c2ccc([*:2])s2)cc1,CN1C(=CC=CC=C[*:2])C(C)(C)c2ccccc21
Oc1ccc(-c2ccc([*:3])s2)cc1 --->>>--- CN1C(=CC=CC=C[*:3])C(C)(C)c2ccccc21,Oc1ccc(-c2ccc([*:3])s2)cc1,CN1C(=CC=CC=C[*:3])C(C)(C)c2ccccc21
Oc1ccc(-c2ccc([*:1])s2)cc1 --->>>--- CN(C)c1ccc2c(c1)OC(=C[*:1])C=C2C(F)(F)F,Oc1ccc(-c2ccc([*:1])s2)cc1,CN(C)c1ccc2c(c1)OC(=C[*:1])C=C2C(F)(F)F
Oc1ccc(-c2ccc([*:2])s2)cc1 --->>>--- CN(C)c1ccc2c(c1)OC(=C[*:2])C=C2C(F)(F)F,Oc1ccc(-c2ccc([*:2])s2)cc1,CN(C)c1ccc2c(c1)OC(=C[*:2])C=C2C(F)(F)F
Oc1ccc(-c2ccc([*:3])s2)cc1 --->>>--- CN(C)c1ccc2c(c1)OC(=C[*:3])C=C2C(F)(F)F,Oc1ccc(-c2ccc([*:3])s2)cc1,CN(C)c1ccc2c(c1)OC(=C[*:3])C=C2C(F)(F)F
Oc1ccc(C=C[*:1])cc1 --->>>--- CN(C)c1ccc(C=C[*:1])cc1,Oc1ccc(C=C[*:1])cc1,CN(C)c1ccc(C=C[*:1])cc1
Oc1ccc(C=C[*:2])cc1 --->>>--- CN(C)c1ccc(C=C[*:2])cc1,Oc1ccc(C=C[*:2])cc1,CN(C)c1ccc(C=C[*:2])cc1
Oc1ccc(C=C[*:3])cc1 --->>>--- CN(C)c1ccc(C=C[*:3])cc1,Oc1ccc(C=C[*:3])cc1,CN(C)c1ccc(C=C[*:3])cc1
Oc1ccc([*:1])cc1 --->>>--- CN(C)c1ccc([*:1])cc1,Oc1ccc([*:1])cc1,CN(C)c1ccc([*:1])cc1
Oc1ccc([*:2])cc1 --->>>--- CN(C)c1ccc([*:2])cc1,Oc1ccc([*:2])cc1,CN(C)c1ccc([*:2])cc1
Oc1ccc([*:3])cc1 --->>>--- CN(C)c1ccc([*:3])cc1,Oc1ccc([*:3])cc1,CN(C)c1ccc([*:3])cc1
O=CC[*:1] --->>>--- CN1C(=CC=C[*:1])C=Cc2ccccc21,O=CC[*:1],CN1C(=CC=C[*:1])C=Cc2ccccc21
O=CC[*:2] --->>>--- CN1C(=CC=C[*:2])C=Cc2ccccc21,O=CC[*:2],CN1C(=CC=C[*:2])C=Cc2ccccc21
O=CC[*:3] --->>>--- CN1C(=CC=C[*:3])C=Cc2ccccc21,O=CC[*:3],CN1C(=CC=C[*:3])C=Cc2ccccc21
O=CC[*:1] --->>>--- CN1C(=CC=C[*:1])C(C)(C)c2ccccc21,O=CC[*:1],CN1C(=CC=C[*:1])C(C)(C)c2ccccc21
O=CC[*:2] --->>>--- CN1C(=CC=C[*:2])C(C)(C)c2ccccc21,O=CC[*:2],CN1C(=CC=C[*:2])C(C)(C)c2ccccc21
O=CC[*:3] --->>>--- CN1C(=CC=C[*:3])C(C)(C)c2ccccc21,O=CC[*:3],CN1C(=CC=C[*:3])C(C)(C)c2ccccc21
O=CC[*:1] --->>>--- CN1/C(=C/C=C[*:1])C=Cc2ccccc21,O=CC[*:1],CN1/C(=C/C=C[*:1])C=Cc2ccccc21
O=CC[*:2] --->>>--- CN1/C(=C/C=C[*:2])C=Cc2ccccc21,O=CC[*:2],CN1/C(=C/C=C[*:2])C=Cc2ccccc21
O=CC[*:3] --->>>--- CN1/C(=C/C=C[*:3])C=Cc2ccccc21,O=CC[*:3],CN1/C(=C/C=C[*:3])C=Cc2ccccc21
O=CC[*:1] --->>>--- CN1/C(=C/C=C[*:1])C(C)(C)c2ccccc21,O=CC[*:1],CN1/C(=C/C=C[*:1])C(C)(C)c2ccccc21
O=CC[*:2] --->>>--- CN1/C(=C/C=C[*:2])C(C)(C)c2ccccc21,O=CC[*:2],CN1/C(=C/C=C[*:2])C(C)(C)c2ccccc21
O=CC[*:3] --->>>--- CN1/C(=C/C=C[*:3])C(C)(C)c2ccccc21,O=CC[*:3],CN1/C(=C/C=C[*:3])C(C)(C)c2ccccc21
O=CC[*:1] --->>>--- CN(C)c1ccc(C=C[*:1])cc1,O=CC[*:1],CN(C)c1ccc(C=C[*:1])cc1
O=CC[*:2] --->>>--- CN(C)c1ccc(C=C[*:2])cc1,O=CC[*:2],CN(C)c1ccc(C=C[*:2])cc1
O=CC[*:3] --->>>--- CN(C)c1ccc(C=C[*:3])cc1,O=CC[*:3],CN(C)c1ccc(C=C[*:3])cc1
O=CC[*:1] --->>>--- CN(C)C=C[*:1],O=CC[*:1],CN(C)C=C[*:1]
O=CC[*:2] --->>>--- CN(C)C=C[*:2],O=CC[*:2],CN(C)C=C[*:2]
O=CC[*:3] --->>>--- CN(C)C=C[*:3],O=CC[*:3],CN(C)C=C[*:3]
O=CC[*:1] --->>>--- ClC=C[*:1],O=CC[*:1],ClC=C[*:1]
O=CC[*:2] --->>>--- ClC=C[*:2],O=CC[*:2],ClC=C[*:2]
O=CC[*:3] --->>>--- ClC=C[*:3],O=CC[*:3],ClC=C[*:3]
O=CC[*:1] --->>>--- CCN1C(=CC=C[*:1])Sc2ccccc21,O=CC[*:1],CCN1C(=CC=C[*:1])Sc2ccccc21
O=CC[*:2] --->>>--- CCN1C(=CC=C[*:2])Sc2ccccc21,O=CC[*:2],CCN1C(=CC=C[*:2])Sc2ccccc21
O=CC[*:3] --->>>--- CCN1C(=CC=C[*:3])Sc2ccccc21,O=CC[*:3],CCN1C(=CC=C[*:3])Sc2ccccc21
