element_tran,node1,node2
CC[*:1] --->>>--- CN(C)C=C[*:1],CC[*:1],CN(C)C=C[*:1]
CC[*:1] --->>>--- CCCCCCCCOc1ccc(OCCCCCCCC)c(C=C[*:1])c1,CC[*:1],CCCCCCCCOc1ccc(OCCCCCCCC)c(C=C[*:1])c1
CC[*:1] --->>>--- CCCCCCCCOc1cc(C=C[*:1])c(OCCCCCCCC)cc1C=O,CC[*:1],CCCCCCCCOc1cc(C=C[*:1])c(OCCCCCCCC)cc1C=O
CC[*:1] --->>>--- CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(C=C[*:1])cc21,CC[*:1],CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(C=C[*:1])cc21
C[*:1] --->>>--- Nc1ccc([*:1])cc1,C[*:1],Nc1ccc([*:1])cc1
C[*:1] --->>>--- COc1ccc(C=C[*:1])c(OC)c1,C[*:1],COc1ccc(C=C[*:1])c(OC)c1
C[*:1] --->>>--- CN1C(=CC=C[*:1])C=Cc2ccccc21,C[*:1],CN1C(=CC=C[*:1])C=Cc2ccccc21
C[*:1] --->>>--- CN1C(=CC=C[*:1])C(C)(C)c2ccccc21,C[*:1],CN1C(=CC=C[*:1])C(C)(C)c2ccccc21
C[*:1] --->>>--- CN1/C(=C/C=C[*:1])C=Cc2ccccc21,C[*:1],CN1/C(=C/C=C[*:1])C=Cc2ccccc21
C[*:1] --->>>--- CN1/C(=C/C=C[*:1])C(C)(C)c2ccccc21,C[*:1],CN1/C(=C/C=C[*:1])C(C)(C)c2ccccc21
C[*:1] --->>>--- CN(C)c1ccc(C=C[*:1])cc1,C[*:1],CN(C)c1ccc(C=C[*:1])cc1
C[*:1] --->>>--- CN(C)C=C[*:1],C[*:1],CN(C)C=C[*:1]
C[*:1] --->>>--- CN(C)[*:1],C[*:1],CN(C)[*:1]
C[*:1] --->>>--- ClC=C[*:1],C[*:1],ClC=C[*:1]
C[*:1] --->>>--- CCN1C(=CC=C[*:1])Sc2ccccc21,C[*:1],CCN1C(=CC=C[*:1])Sc2ccccc21
C[*:1] --->>>--- CCN1/C(=C/C=C[*:1])Sc2ccccc21,C[*:1],CCN1/C(=C/C=C[*:1])Sc2ccccc21
C[*:1] --->>>--- C(=C[*:1])c1ccc(N2c3ccccc3CCc3ccccc32)cc1,C[*:1],C(=C[*:1])c1ccc(N2c3ccccc3CCc3ccccc32)cc1
C[*:1] --->>>--- C(=C[*:1])c1c[nH]c2ccccc12,C[*:1],C(=C[*:1])c1c[nH]c2ccccc12
C[*:1] --->>>--- ,C[*:1],
 --->>>--- O=[N+]([O-])c1ccc([*:1])cc1,,O=[N+]([O-])c1ccc([*:1])cc1
 --->>>--- O[*:1],,O[*:1]
 --->>>--- Nc1ccc([*:1])cc1,,Nc1ccc([*:1])cc1
 --->>>--- COc1ccc(C=C[*:1])c(OC)c1,,COc1ccc(C=C[*:1])c(OC)c1
 --->>>--- COc1ccc([*:1])cc1,,COc1ccc([*:1])cc1
 --->>>--- CN1C(=CC=C[*:1])C=Cc2ccccc21,,CN1C(=CC=C[*:1])C=Cc2ccccc21
 --->>>--- CN1C(=CC=C[*:1])C(C)(C)c2ccccc21,,CN1C(=CC=C[*:1])C(C)(C)c2ccccc21
 --->>>--- CN1C(=C[*:1])C=Cc2ccccc21,,CN1C(=C[*:1])C=Cc2ccccc21
 --->>>--- CN1C(=C[*:1])C(C)(C)c2ccccc21,,CN1C(=C[*:1])C(C)(C)c2ccccc21
 --->>>--- CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=CC=CC=C[*:1],,CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=CC=CC=C[*:1]
 --->>>--- CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=CC=C[*:1],,CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=CC=C[*:1]
 --->>>--- CN(C)c1ccc(-c2ccc([*:1])s2)cc1,,CN(C)c1ccc(-c2ccc([*:1])s2)cc1
 --->>>--- CN(C)c1ccc(C=C[*:1])cc1,,CN(C)c1ccc(C=C[*:1])cc1
 --->>>--- CN(C)c1ccc([*:1])cc1,,CN(C)c1ccc([*:1])cc1
 --->>>--- CN(C)C=C[*:1],,CN(C)C=C[*:1]
 --->>>--- CN(C)[*:1],,CN(C)[*:1]
 --->>>--- ClC=C[*:1],,ClC=C[*:1]
 --->>>--- Cl[*:1],,Cl[*:1]
 --->>>--- CCN1C(=CC=C[*:1])Sc2ccccc21,,CCN1C(=CC=C[*:1])Sc2ccccc21
 --->>>--- CCN1C(=C[*:1])Sc2ccccc21,,CCN1C(=C[*:1])Sc2ccccc21
 --->>>--- C(=C[*:1])c1ccc(N2c3ccccc3CCc3ccccc32)cc1,,C(=C[*:1])c1ccc(N2c3ccccc3CCc3ccccc32)cc1
 --->>>--- C(=C[*:1])c1c[nH]c2ccccc12,,C(=C[*:1])c1c[nH]c2ccccc12
 --->>>--- C#Cc1ccc([*:1])cc1,,C#Cc1ccc([*:1])cc1
