element_tran,node1,node2
CC[*:1] --->>>--- CN(C)C=C[*:1],CC[*:1],CN(C)C=C[*:1]
CC[*:2] --->>>--- CN(C)C=C[*:2],CC[*:2],CN(C)C=C[*:2]
CC[*:3] --->>>--- CN(C)C=C[*:3],CC[*:3],CN(C)C=C[*:3]
CC[*:1] --->>>--- CCCCCCCCOc1ccc(OCCCCCCCC)c(C=C[*:1])c1,CC[*:1],CCCCCCCCOc1ccc(OCCCCCCCC)c(C=C[*:1])c1
CC[*:2] --->>>--- CCCCCCCCOc1ccc(OCCCCCCCC)c(C=C[*:2])c1,CC[*:2],CCCCCCCCOc1ccc(OCCCCCCCC)c(C=C[*:2])c1
CC[*:3] --->>>--- CCCCCCCCOc1ccc(OCCCCCCCC)c(C=C[*:3])c1,CC[*:3],CCCCCCCCOc1ccc(OCCCCCCCC)c(C=C[*:3])c1
CC[*:1] --->>>--- CCCCCCCCOc1cc(C=C[*:1])c(OCCCCCCCC)cc1C=O,CC[*:1],CCCCCCCCOc1cc(C=C[*:1])c(OCCCCCCCC)cc1C=O
CC[*:2] --->>>--- CCCCCCCCOc1cc(C=C[*:2])c(OCCCCCCCC)cc1C=O,CC[*:2],CCCCCCCCOc1cc(C=C[*:2])c(OCCCCCCCC)cc1C=O
CC[*:3] --->>>--- CCCCCCCCOc1cc(C=C[*:3])c(OCCCCCCCC)cc1C=O,CC[*:3],CCCCCCCCOc1cc(C=C[*:3])c(OCCCCCCCC)cc1C=O
CC[*:1] --->>>--- CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(C=C[*:1])cc21,CC[*:1],CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(C=C[*:1])cc21
CC[*:2] --->>>--- CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(C=C[*:2])cc21,CC[*:2],CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(C=C[*:2])cc21
CC[*:3] --->>>--- CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(C=C[*:3])cc21,CC[*:3],CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(C=C[*:3])cc21
C[*:1] --->>>--- Nc1ccc([*:1])cc1,C[*:1],Nc1ccc([*:1])cc1
C[*:2] --->>>--- Nc1ccc([*:2])cc1,C[*:2],Nc1ccc([*:2])cc1
C[*:3] --->>>--- Nc1ccc([*:3])cc1,C[*:3],Nc1ccc([*:3])cc1
C[*:1] --->>>--- COc1ccc(C=C[*:1])c(OC)c1,C[*:1],COc1ccc(C=C[*:1])c(OC)c1
C[*:2] --->>>--- COc1ccc(C=C[*:2])c(OC)c1,C[*:2],COc1ccc(C=C[*:2])c(OC)c1
C[*:3] --->>>--- COc1ccc(C=C[*:3])c(OC)c1,C[*:3],COc1ccc(C=C[*:3])c(OC)c1
C[*:1] --->>>--- CN1C(=CC=C[*:1])C=Cc2ccccc21,C[*:1],CN1C(=CC=C[*:1])C=Cc2ccccc21
C[*:2] --->>>--- CN1C(=CC=C[*:2])C=Cc2ccccc21,C[*:2],CN1C(=CC=C[*:2])C=Cc2ccccc21
C[*:3] --->>>--- CN1C(=CC=C[*:3])C=Cc2ccccc21,C[*:3],CN1C(=CC=C[*:3])C=Cc2ccccc21
C[*:1] --->>>--- CN1C(=CC=C[*:1])C(C)(C)c2ccccc21,C[*:1],CN1C(=CC=C[*:1])C(C)(C)c2ccccc21
C[*:2] --->>>--- CN1C(=CC=C[*:2])C(C)(C)c2ccccc21,C[*:2],CN1C(=CC=C[*:2])C(C)(C)c2ccccc21
C[*:3] --->>>--- CN1C(=CC=C[*:3])C(C)(C)c2ccccc21,C[*:3],CN1C(=CC=C[*:3])C(C)(C)c2ccccc21
C[*:1] --->>>--- CN1/C(=C/C=C[*:1])C=Cc2ccccc21,C[*:1],CN1/C(=C/C=C[*:1])C=Cc2ccccc21
C[*:2] --->>>--- CN1/C(=C/C=C[*:2])C=Cc2ccccc21,C[*:2],CN1/C(=C/C=C[*:2])C=Cc2ccccc21
C[*:3] --->>>--- CN1/C(=C/C=C[*:3])C=Cc2ccccc21,C[*:3],CN1/C(=C/C=C[*:3])C=Cc2ccccc21
C[*:1] --->>>--- CN1/C(=C/C=C[*:1])C(C)(C)c2ccccc21,C[*:1],CN1/C(=C/C=C[*:1])C(C)(C)c2ccccc21
C[*:2] --->>>--- CN1/C(=C/C=C[*:2])C(C)(C)c2ccccc21,C[*:2],CN1/C(=C/C=C[*:2])C(C)(C)c2ccccc21
